id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,Quantity_Prepared,Service_Type,Day_Type,Meal_Time,Customers_Count,Wastage
1000000,3,157,2760,233.83,231.83,0,0,149,158.18,Buffet,Weekday,Lunch,137,11.02
1000001,100,104,2956,486.03,583.03,0,0,161,178.55,Delivery,Weekday,Dinner,147,14.04
1000002,143,75,1971,328.86,327.86,0,0,149,184.38,Dine-in,Weekday,Breakfast,152,35.38
1000003,41,24,2539,145.53,145.53,0,0,540,624.4,Delivery,Weekend,Dinner,581,67.52
1000004,45,83,2539,95.06,120.34,0,0,271,307.95,Delivery,Weekday,Dinner,247,29.56
1000005,101,65,1754,291.03,290.03,0,0,541,674.01,Dine-in,Weekday,Dinner,498,133.01
1000006,107,153,2126,533.53,533.53,0,0,53,58.84,Buffet,Weekday,Dinner,56,7.01
1000007,11,50,1062,160.11,159.11,0,0,432,456.81,Buffet,Weekday,Dinner,439,29.77
1000008,114,57,1962,467.54,639.23,1,1,486,572.68,Dine-in,Weekday,Lunch,528,86.68
1000009,68,36,1216,406.43,408.43,0,0,28,34.86,Delivery,Weekday,Dinner,30,5.49
1000010,10,76,2760,243.53,241.53,0,0,108,121.11,Buffet,Weekday,Dinner,116,15.73
1000011,18,104,2867,618.86,619.86,0,0,53,55.95,Dine-in,Weekday,Dinner,57,2.95
1000012,33,36,2494,256.08,243.5,0,1,94,116.32,Dine-in,Weekday,Lunch,88,22.32
1000013,140,88,1571,485.03,631.53,0,0,81,90.91,Buffet,Weekend,Dinner,83,11.89
1000014,105,81,2139,290.03,290.03,0,0,55,63.14,Dine-in,Weekend,Dinner,53,8.14
1000015,112,43,2290,286.15,288.15,0,0,1863,2225.71,Buffet,Weekend,Lunch,1825,435.25
1000016,131,77,2290,255.11,257.11,0,0,418,452.47,Delivery,Weekday,Breakfast,419,27.58
1000017,9,80,2826,298.76,298.76,0,0,771,920.45,Dine-in,Weekday,Lunch,723,149.45
1000018,101,92,1445,459.78,709.13,0,0,27,32.48,Buffet,Weekday,Dinner,25,6.58
1000019,18,52,1311,158.14,158.14,0,0,742,814.81,Dine-in,Weekday,Lunch,687,72.81
1000020,88,24,2704,243.47,292.03,0,0,473,529.89,Buffet,Weekday,Breakfast,473,68.27
1000021,111,57,1248,153.26,153.26,0,0,27,29.46,Buffet,Weekend,Dinner,27,2.95
1000022,49,89,2760,242.53,242.53,0,0,134,164.14,Buffet,Weekend,Dinner,136,36.17
1000023,6,68,1971,290.06,289.06,0,0,230,257.2,Delivery,Weekend,Lunch,229,21.76
1000024,30,55,1109,255.14,309.43,0,1,715,837.11,Delivery,Weekday,Lunch,778,97.69
1000025,91,14,2640,291.03,291.03,0,0,69,86.02,Dine-in,Weekend,Dinner,69,17.02
1000026,104,41,1885,152.35,151.35,0,0,175,217.62,Dine-in,Weekend,Breakfast,166,42.62
1000027,140,97,1571,486.03,629.53,0,0,242,265.59,Buffet,Weekend,Lunch,250,28.31
1000028,30,94,1207,307.49,308.49,0,0,204,214.52,Buffet,Weekday,Dinner,218,12.62
1000029,83,174,1445,669.33,668.33,0,0,108,123.79,Buffet,Weekend,Dinner,114,18.95
1000030,95,145,2139,280.33,280.33,0,0,41,43.27,Dine-in,Weekday,Lunch,41,2.27
1000031,24,14,2539,165.93,153.26,0,1,229,284.95,Dine-in,Weekday,Breakfast,219,55.95
1000032,97,10,1248,155.26,155.26,0,0,231,269.25,Dine-in,Weekend,Dinner,251,38.25
1000033,25,76,2490,253.2,252.2,0,0,82,99.57,Buffet,Weekday,Dinner,79,21.08
